,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
20,,"Double Oof","2023-01-15 07:17:50",1,no,no,"Most of those explosions look more like practical effects rather than CGI, if that’s the case I’m impressed the only digitally animated thing there are the robots",UCgo5emMhcTNsgEiRpyp1EdA,UgyBMWnRURT4WqBVwJl4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=UgyBMWnRURT4WqBVwJl4AaABAg
21,,"maan 101","2023-01-16 01:51:31",0,no,no,"I realy want to see a ww2 transformers movie with this in it",UCU4VAXFj1TVg7AbJXxOrjRA,UgwPsDiVT1v-I07wug94AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=UgwPsDiVT1v-I07wug94AaABAg
22,,"Ethan Hunt","2023-01-17 11:10:43",0,no,no,"Must admit the ww bee was a notch above",UCUrzEMbxVrXgQYzz8enjyYA,Ugxcjp5PcV9WP-Ux6bN4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=Ugxcjp5PcV9WP-Ux6bN4AaABAg
23,,VoDKa,"2023-01-17 20:06:40",0,no,no,"I will assume that Bumblebee was on the side of the USSR, another group of potential genocidal LMAOOOOO",UCTmxn7XHpEkuk-kKWZdlUoA,UgwhjMmdZYkazCiWtDZ4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=UgwhjMmdZYkazCiWtDZ4AaABAg
24,,Ark,"2023-01-19 16:37:05",0,no,no,"I actually would've love to see a ww2 transformers film!",UCCjHO9TF_j0yduah-6zufhg,Ugw3SNdTDsgw8XsOY1F4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=Ugw3SNdTDsgw8XsOY1F4AaABAg
25,,"I Like Everything","2023-01-20 15:57:06",0,no,no,"This really made me lose brain cells in every area",UCrrwsIghuIz9w-5iGE_dvTw,UgwxttO5oJvNPMHwvyB4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=UgwxttO5oJvNPMHwvyB4AaABAg
26,,JermaJearest87,"2023-01-20 16:59:41",0,no,no,"This feels inconsistent.",UCFBrIs0T-6TaA4GQR1aUYjw,Ugxc6C6IjQqdzgHPe5F4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=Ugxc6C6IjQqdzgHPe5F4AaABAg
27,,GAMER-XD,"2023-01-21 00:18:52",1,no,no,"0:49  i like how cade is so confused and said ""bee his so nice"" 😂",UCPsuNpBN1Bmo9s70CIW1u-Q,UgzLCBORl596gigVaZ14AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=UgzLCBORl596gigVaZ14AaABAg
28,,"Nia 1# Waifu","2023-01-21 13:11:13",0,no,no,"Definitely would like to see Bumblebee work with the Inglorious Basterds lol",UCUoP_XEEzfirztSe4_QRx_Q,UgytHe-nNafCUyTOTx14AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=UgytHe-nNafCUyTOTx14AaABAg
29,,"Ship To My House","2023-01-26 04:06:15",1,no,no,"Michael bay didnt make the bayverse, he made separate movies with references to each other",UCDX_MQQodsTFC_QVRLhzE4g,Ugw-hVlHJrkkdlqOf1t4AaABAg,https://www.youtube.com/watch?v=2rSSxAdDhuU&lc=Ugw-hVlHJrkkdlqOf1t4AaABAg
